pathway	pval	padj	log2err	ES	NES	size	leadingEdge
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	9.14856351743842e-11	1.70163281424355e-08	0.839088935621274	0.490924745624204	2.15190557025933	255	CCL18;TNFRSF17;CCL7;CCL3;CCL8;CCL4;CCL3L3;CXCL9;CXCL1;TNFSF10;CD27;CXCL13;IFNG;CCR1;IL21R;TGFBR1;TNFRSF21;EPO;CCL20;CXCL10;CXCL11;CCL17;CCR2;OSM;CCL13;IL12A;CXCR6;TNFRSF12A;TGFB2;CCL2;FASLG;IL13;IL18;TNFRSF11B;CXCR4;IL1R1;IL2RB;CCL5;TNFRSF13C;VEGFA;CXCL6;TNFSF13B;IFNAR2;RELT;CCR5;INHBB;CCL1;IL22RA2;IL2RA;CCR7;IL23R;IL6;IL13RA1;EGF;XCL1;XCL2;CCL11;CSF2;IL18RAP;CXCL2;CCL23;CCL21;CXCL3;IL21;IL15RA;IL10RA;CCL24;INHBA;CCR8;IL5RA;GH1;CD70;IFNW1;IL1B;IFNK;IL2RG;PRL;IL2;GH2;IFNL1;TNFRSF19;IL10;IL20RB;IL1RAP;IFNA10;TNFRSF8;CXCR3;TNFSF15;TNFRSF10A;IL6R;PF4V1;BMP7;IFNL2;IL24;TNFSF4;CCR3;TNFRSF9;IFNGR1;TNFSF13;CXCL16
KEGG_OLFACTORY_TRANSDUCTION	1.97037904773683e-06	0.000183245251439525	0.627256739718528	0.491915804555953	2.01766000770472	142	CLCA2;CALML5;CALML3;OR7E24;OR8B8;OR10P1;OR11A1;PRKX;OR10H2;CNGA3;GUCA1A;OR51B2;OR5P3;OR8J1;OR4N4;OR13D1;OR6M1;CLCA1;PRKG2;OR1S2;OR56B1;OR10J5;OR2V2;OR7A5;OR7G3;OR7A10;OR2L13;OR51D1;CAMK2D;CALML6;OR4F4;OR51E2;OR12D2;OR1L3;OR10R2;OR5T2;OR2C1;GUCY2D;OR1L4;OR2W1;OR8K3;OR52B2;OR2H2;OR51A7;OR12D3;OR10A2;GUCA1C;OR2C3;OR11G2;OR1G1;OR2H1;GUCA1B;OR5I1;CAMK2A;OR52K2;OR5P2;OR4K17;OR1A2;OR51G1;OR4X2;OR2W3;OR4K1;OR51B4;OR1E1;OR1Q1;OR10C1;OR51Q1;OR1D5;OR2T5;OR4D2;OR2B2;OR52A1;PRKACB;OR1C1;CLCA4;PRKACG;OR1A1;OR13C4;OR10J3;OR2T8;PDC;OR6Y1;OR2A14;CALM2;OR4C46;OR5V1;CNGA4;OR4C3;OR2S2;OR7A17;OR10T2;CNGB1;OR5AP2;OR2M2;OR10G8;OR10H4;OR4S1;OR8U1;OR3A1;OR3A2;OR10H3;OR10J1;OR51B5;CALM3;OR1F1;OR7D4;OR4D5;OR6K2;OR6A2;OR2A7;OR1D2;OR2B6;OR1N2
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	0.0002202034405589	0.00585111999199363	0.518848077743792	0.545059106072992	1.9733482123966	60	CCL7;CCL8;CXCL1;CCL13;CCL2;IL18;CARD9;CCL5;CASP8;PYDC1;IL6;CARD18;HSP90B1;CCL11;NLRC4;CXCL2;IL1B;NFKBIA;MAPK1;CARD8;PYCARD;RIPK2;MAPK10
KEGG_STARCH_AND_SUCROSE_METABOLISM	0.000147992476741555	0.00458776677898821	0.518848077743792	0.608265651765842	1.97052367267219	38	UGT2B11;UGT2B7;ENPP3;UGT2B10;UGT2B28;GPI;ENPP1;HK3;UGT1A6;HK2;PYGB;GBE1;UGT1A8;TREH;G6PC2;UGT2B17
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	3.09508046847559e-05	0.00191894989045487	0.557332238758646	0.507026355817397	1.96320242667416	95	LBP;CCL3;IRF5;SPP1;CCL4;CXCL9;STAT1;TLR2;CXCL10;CXCL11;IL12A;TLR8;PIK3R3;CCL5;CASP8;MAP2K3;IFNAR2;CD80;IL6;FOS;PIK3CG;CD14;IL1B;MAP2K6;NFKBIA;IFNA10;TLR6;IRF7;MAPK1;PIK3R2;LY96;TLR9;TOLLIP;MAPK10;IFNA21;TLR1;IFNA5;IFNA2;MAPK9;MYD88;IFNA8;TRAF3;TAB1
KEGG_STEROID_HORMONE_BIOSYNTHESIS	0.000552602943879273	0.0114204608401716	0.477270815362862	0.568238937413097	1.92862823767608	46	HSD17B2;UGT2B11;UGT2B7;UGT2B10;UGT2B28;HSD11B1;COMT;SRD5A3;HSD17B6;HSD3B1;UGT1A6;SRD5A1;SULT1E1;UGT1A8;CYP11B2;CYP3A4;HSD3B2;CYP3A43
KEGG_GRAFT_VERSUS_HOST_DISEASE	0.00123333364005229	0.0191113012371554	0.45505986738723	0.600769062313524	1.90797502334745	35	GZMB;IFNG;HLA-E;FASLG;HLA-C;HLA-B;KLRC1;HLA-DRB1;HLA-G;HLA-DQB1;CD80;KLRD1;IL6;HLA-DOB;HLA-F;HLA-DRA;IL1B;IL2;HLA-DMB;HLA-DRB5;HLA-DPB1;HLA-A;PRF1;HLA-DMA
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	0.00130057848442437	0.0191113012371554	0.45505986738723	0.669494972920655	1.89084093753284	20	UGT2B11;UGT2B7;UGT2B10;UGT2B28;UGT1A6;UGT1A8;XYLB;UGT2B17;DHDH;DCXR;UGT2A3;RPE
KEGG_LEISHMANIA_INFECTION	0.000352106194931349	0.00818646903215387	0.49849310876659	0.507508092517829	1.87308068116345	68	NCF2;IFNG;FCGR3A;STAT1;TLR2;IL12A;TGFB2;NCF1;CYBA;FCGR3B;NCF4;HLA-DRB1;HLA-DQB1;ITGAM;ITGB2;HLA-DOB;FOS;HLA-DRA;IL1B;NFKBIA;HLA-DMB;HLA-DRB5;IL10;MAPK1;FCGR2A;HLA-DPB1;IFNGR1;PTGS2
KEGG_PRIMARY_IMMUNODEFICIENCY	0.001877054552277	0.0247663900496623	0.45505986738723	0.589089117008996	1.87088082973288	35	IGLL1;CD19;CD79A;ICOS;TNFRSF13C;TAP1;BLNK;UNG;CD3D;CIITA;ADA;IL2RG;PTPRC;BTK;IL7R
