pathway	pval	padj	log2err	ES	NES	size	leadingEdge
HALLMARK_INTERFERON_GAMMA_RESPONSE	3.38742079775184e-35	1.69371039887592e-33	1.54318309134871	0.7297627694351	3.13347474640618	194	IDO1;CXCL9;CD38;CXCL10;CCL7;CCL5;TAP1;IRF1;SLAMF7;STAT1;IRF4;BATF2;ITGB7;GBP4;CCL2;PSMB9;IL2RB;SOD2;SAMD9L;RTP4;CXCL11;ZBP1;GZMA;SOCS1;BANK1;HLA-DQA1;OASL;ISG20;XCL1;CD74;GPR18;APOL6;IL15;ICAM1;PFKP;PDE4B;PIM1;CD274;CASP1;IFI30;HLA-DMA;IFI44L;HLA-DRB1;IFIH1;PLA2G4A;P2RY14;USP18;PSMB8;MYD88;PELI1;IFI44;IL10RA;PTPN6;VCAM1;PNP;PARP12;RIPK2;C1S;LCP2;PSMB2;LAP3;IRF8;HLA-A;EPSTI1;SECTM1;IFNAR2;IL18BP;NMI;PTPN2;UBE2L6;CD40;B2M;CD69;HLA-G;CMKLR1;FAS;CASP4;IL15RA;LY6E;TAPBP;NUP93;TRIM26;NLRC5;KLRK1;IFIT3;JAK2;FPR1;STAT3;MX1;HLA-B;XAF1;C1R;LYSMD2;SOCS3;RSAD2;ADAR;UPP1;MTHFD2;PARP14;TNFAIP3;IFIT2;PSMB10;MX2;OAS2;VAMP5;STAT4;IL6;IL7;PLSCR1;SLC25A28;CIITA;SERPING1;NOD1;NFKB1
HALLMARK_ALLOGRAFT_REJECTION	3.22324406931321e-32	8.05811017328304e-31	1.47456250139425	0.709515891672833	3.03467974082084	195	CCL13;CXCL13;CXCL9;GZMB;CCL19;CCL7;CDKN2A;CCL5;LCK;TAP1;IL27RA;CD2;STAT1;CD79A;IRF4;IFNG;LTB;CD3D;CCL2;HLA-DOB;IL2RB;SIT1;HLA-E;LYN;MMP9;ZAP70;GZMA;SOCS1;HLA-DQA1;CCR2;CCR5;CCL4;CD96;CD247;FASLG;CD3G;CD74;PRKCB;CXCR3;CTSS;IL15;CFP;ICAM1;LY75;IL2RG;CD40LG;NCF4;C2;PRF1;HLA-DMA;HCLS1;NCK1;TLR1;PTPN6;IL2RA;MAP4K1;ITK;TNF;RIPK2;KLRD1;SRGN;LCP2;IRF8;HLA-A;TRAT1;EIF5A;IFNAR2;CD47;CD7;HLA-DRA;CSK;TLR2;CD40;B2M;IL1B;CD8A;TLR6;FGR;HLA-G;CD8B;FAS;CCR1;TAPBP;IL18;CD28;JAK2;TAP2;IL18RAP;TIMP1;CRTAM;ITGAL;CCND2;IL13;PSMB10;FCGR2B;CAPG;SPI1;RPS19;STAT4;PTPRC;IL6;IFNGR1;IL7;GBP2
HALLMARK_INTERFERON_ALPHA_RESPONSE	4.60206385545537e-17	4.60206385545537e-16	1.06720998682811	0.715255964306127	2.78786157806103	94	LAMP3;CXCL10;TAP1;IRF1;BATF2;GBP4;SELL;PSMB9;SAMD9L;RTP4;CXCL11;OASL;ISG20;CD74;IL15;NCOA7;HLA-C;CASP1;IFI30;IFI44L;IFIH1;USP18;PSMB8;IFI44;PARP12;RIPK2;C1S;LAP3;EPSTI1;CD47;NMI;UBE2L6;B2M;OAS1;LY6E;TRIM26;IFIT3;MX1;RSAD2;ADAR;PARP14;IFIT2;PARP9;IL7;GBP2;PLSCR1;SLC25A28
HALLMARK_E2F_TARGETS	1.09420895476024e-19	1.3677611934503e-18	1.14219120216838	0.621770683861321	2.65938355982635	195	CDKN2A;CCNE1;ANP32E;MELK;KIF2C;NCAPD2;CDC20;CDCA3;LBR;MCM2;MYBL2;CDCA8;CKS1B;CHEK1;MCM4;DEK;CTPS1;GINS4;HMGA1;RFC2;RAD51AP1;MCM5;TUBB;CDC25A;NUP205;MCM3;CENPE;ORC6;PLK1;NASP;USP1;KIF4A;CHEK2;EZH2;BUB1B;UBE2T;TACC3;ZW10;MCM6;CDC25B;CDK1;STMN1;SSRP1;KPNA2;AURKB;MMS22L;DLGAP5;NUP153;PRPS1;LYAR;RPA2;TOP2A;DSCC1;TRIP13;CCNB2;PTTG1;SNRPB;RANBP1;MCM7;PCNA;ATAD2;LMNB1;MTHFD2;CDKN2C;PRIM2;GINS3;BIRC5;MAD2L1;POLD1;DONSON;EED;AURKA;SMC6;DEPDC1;MYC;SPAG5;EXOSC8;DIAPH3;ILF3;PRKDC;POLA2;UNG;SHMT1;PRDX4;MSH2;SMC3;ING3;RPA1;MKI67;PLK4;LIG1;RNASEH2A;SRSF2;TCF19;GINS1;KIF18B;SMC4;SLBP;PSMC3IP;RFC3;DNMT1;STAG1;ASF1A;NOP56;NUDT21;RAD1;HMGB3;CIT;PSIP1;UBE2S;XRCC6;POLD2;POLD3;SYNCRIP;RAN
HALLMARK_G2M_CHECKPOINT	1.63188215122579e-13	1.16563010801842e-12	0.943632225232838	0.55882735553665	2.38529412941523	188	KIF2C;CDC20;LBR;MCM2;MYBL2;NDC80;CCNA2;CKS1B;CENPA;ODC1;CHEK1;TTK;UCK2;RAD54L;BUB1;EXO1;CENPF;TPX2;HMGA1;E2F3;MCM5;EFNA5;CDC25A;MCM3;CENPE;ORC6;CDC45;CDC7;PLK1;NASP;KIF4A;EZH2;KIF11;SMARCC1;PBK;E2F2;TACC3;UBE2C;SLC7A5;MCM6;CDC25B;AMD1;CDK1;STMN1;KPNA2;KIF15;AURKB;NEK2;INCENP;CUL1;WRN;E2F1;RPA2;TOP2A;CCNB2;PTTG1;HIRA;TFDP1;LMNB1;TROAP;FANCC;MTF2;CDKN2C;PRIM2;BIRC5;MAD2L1;TRAIP;POLQ;PAFAH1B1;AURKA;RASAL2;SNRPD1;SAP30;ATF5;KATNA1;MYC;STIL;DR1;ILF3;POLA2;KIF23;NOTCH2;E2F4;DKC1;DMD;CHAF1A;MKI67;PLK4;RBL1;SRSF2
HALLMARK_IL6_JAK_STAT3_SIGNALING	2.06575772558147e-09	1.1476431808786e-08	0.774939030136436	0.622865082432803	2.37763681908917	87	CXCL13;CXCL9;CD38;CXCL10;CCL7;CXCL1;IRF1;STAT1;LTB;TNFRSF21;CXCL11;SOCS1;IL1R2;EBI3;CD14;PIM1;IL2RG;MYD88;IL2RA;TNF;PTPN2;IL17RA;TLR2;IL1B;BAK1;FAS;CSF2RA;CCR1;IL15RA;A2M;STAT3;TNFRSF1B;SOCS3;CD44;IL3RA;ACVRL1;IL6;IFNGR1;IL7;LTBR
HALLMARK_INFLAMMATORY_RESPONSE	1.14493308775271e-13	9.54110906460592e-13	0.943632225232838	0.547755280762229	2.34228046403872	197	MARCO;LAMP3;CXCL9;CXCL10;CCL7;CCR7;CCL5;CCL17;LCK;IRF1;ITGB8;CX3CL1;CCL2;SELL;IL2RB;RASGRP1;CXCR6;LYN;GPR183;RTP4;CXCL11;ADORA2B;IL7R;EBI3;CD82;CHST2;IL15;ICAM1;ICAM4;CD14;SLAMF1;PDE4B;CD48;SPHK1;TLR1;ADM;IL10RA;CYBB;KIF1B;RIPK2;LCP2;TNFRSF9;NMI;TLR2;CD40;IL1B;RNF144B;GPR132;CD69;GNA15;CMKLR1;PTAFR;AQP9;IL15RA;LY6E;TAPBP;IL18;KCNA3;RHOG;IRAK2;FPR1;RAF1;IL18RAP;TIMP1;TNFRSF1B;PROK2;SELE;SGMS2;PLAUR
HALLMARK_MYC_TARGETS_V1	2.79135967552585e-06	1.1630665314691e-05	0.627256739718528	0.432895683871266	1.86146426467183	193	TYMS;CDC20;MCM2;IFRD1;CCNA2;ODC1;MCM4;DEK;SRPK1;CTPS1;MCM5;ILF2;MRPL9;CDC45;CSTF2;USP1;PSMB2;RFC4;SMARCC1;PSMC4;LSM2;C1QBP;SRM;MCM6;FBL;KPNA2;CUL1;SNRPA1;STARD7;RANBP1;MCM7;PCNA;TFDP1;CAD;LSM7;MAD2L1;PWP1;PPM1G;PHB2;DDX21;SNRPD1;POLE3;MYC;RPS10;CCT4;SERBP1;PSMD7;PRDX4;EIF4A1;VDAC3;YWHAQ;RPS6;HDGF;SRSF2;HSP90AB1;HPRT1;UBA2;HDAC2;DDX18;SF3B3;PSMA4;RUVBL2;PSMD8;NOP56;U2AF1;XPOT;ABCE1;XRCC6;POLD2;CCT3;SYNCRIP;RAN;UBE2L3;NOP16;TUFM;EIF4H;CDK4;EXOSC7;EIF3B;PRPF31;RRP9;EIF4G2;PCBP1;RNPS1;HSPD1;TRA2B;PSMD14
HALLMARK_COMPLEMENT	2.3072057486331e-06	1.04872988574232e-05	0.627256739718528	0.435054478334236	1.85940389337406	198	LTF;GZMB;CCL5;CXCL1;LCK;CP;IRF1;PSMB9;CTSV;RASGRP1;GZMK;LYN;GZMA;FCN1;PLA2G7;C1QA;PLEK;CTSS;SPOCK2;PIM1;CD40LG;CR2;CASP1;C2;C1QC;PFN1;CEBPB;PLA2G4A;CTSC;APOBEC3G;C1S;LCP2;LAP3;APOBEC3F;C3;S100A9;CASP4;GNGT2;XPNPEP1;RHOG;JAK2;CASP5;RAF1;PRSS3;KLK1;PREP;CTSL;C1R;TIMP1;L3MBTL4;PLAUR;TNFAIP3;LGMN;EHD1;CPQ;ITGAM;PHEX;PIK3CG;IL6;PLSCR1
HALLMARK_TNFA_SIGNALING_VIA_NFKB	3.64196833566551e-06	1.40075705217904e-05	0.627256739718528	0.421322079692554	1.80163388832833	197	CXCL10;CCL5;CXCL1;PTX3;TAP1;IRF1;CCL2;SOD2;GPR183;CXCL11;LAMB3;IL7R;CCL4;BIRC3;NFIL3;BCL2A1;PLEK;BTG3;ICAM1;DUSP2;PDE4B;CFLAR;SPHK1;CEBPB;MAP2K3;NFKBIE;IFIH1;TRAF1;VEGFA;RELB;CD83;TNF;RIPK2;STAT5A;TNFRSF9;TLR2;CXCL2;IL1B;FUT4;CD69;RCAN1;PNRC1;EGR2;TANK;MCL1;B4GALT5;IL15RA;IL18;TUBB2A;SERPINB8;EFNA1;IL23A;TNFAIP8;SOCS3;PLAUR;CD44;TNFAIP3;EHD1;IFIT2;CEBPD;LITAF;IL6;EDN1;FJX1;B4GALT1;MYC;YRDC;DRAM1;NFKB1;TNFAIP2;SLC2A6;BIRC2
